#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Rhodanobacter denitrificans,Bacteria;Proteobacteria;Gammaproteobacteria,2APBS1,SAMN02232048,PRJNA50861,GCA_000230695.3,Complete,4.22549,67.5,chromosome:NC_020541.1/CP003470.1,,1,3836,2013-03-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/695/GCA_000230695.3_ASM23069v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/695/GCF_000230695.2_ASM23069v3
Rhodobacter capsulatus SB 1003,Bacteria;Proteobacteria;Alphaproteobacteria,SB 1003,SAMN02604080,PRJNA55,GCA_000021865.1,Complete,3.87192,66.5966,chromosome:NC_014034.1/CP001312.1; plasmid pRCB133:NC_014035.1/CP001313.1,,2,3588,2010-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/865/GCA_000021865.1_ASM2186v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/865/GCF_000021865.1_ASM2186v1
Rhodococcus erythropolis R138,Bacteria;Terrabacteria group;Actinobacteria,R138,SAMN02639992,PRJNA188397,GCA_000696675.2,Complete,6.80651,62.3283,chromosome:NZ_CP007255.1/CP007255.1; plasmid pCRE138:NZ_CP007256.1/CP007256.1; plasmid pLRE138:NZ_CP007257.1/CP007257.1,,3,6126,2015-12-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/675/GCA_000696675.2_ASM69667v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/675/GCF_000696675.2_ASM69667v2
Rhodocytophaga rosea,Bacteria;FCB group;Bacteroidetes/Chlorobi group,172606-1,SAMN13930951,PRJNA603394,GCA_010119975.1,Complete,8.98345,40.7,chromosome:NZ_CP048222.1/CP048222.1,,1,7174,2020-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/119/975/GCA_010119975.1_ASM1011997v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/119/975/GCF_010119975.1_ASM1011997v1
Rhodoferax ferrireducens T118,Bacteria;Proteobacteria;Betaproteobacteria,DSM 15236,SAMN02598320,PRJNA13908,GCA_000013605.1,Complete,4.96978,59.6151,chromosome:NC_007908.1/CP000267.1; plasmid plasmid1:NC_007901.1/CP000268.1,,2,4496,2006-03-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/605/GCA_000013605.1_ASM1360v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/605/GCF_000013605.1_ASM1360v1
Rhodoluna lacicola,Bacteria;Terrabacteria group;Actinobacteria,MWH-Ta8,SAMN02848463,PRJNA237851,GCA_000699505.1,Complete,1.43043,51.5,chromosome:NZ_CP007490.1/CP007490.1,,1,1358,2014-06-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/699/505/GCA_000699505.1_ASM69950v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/699/505/GCF_000699505.1_ASM69950v1
Rhodomicrobium vannielii ATCC 17100,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC 17100,SAMN00007427,PRJNA38253,GCA_000166055.1,Complete,4.01447,62.2,chromosome:NC_014664.1/CP002292.1,,1,3592,2010-11-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/055/GCA_000166055.1_ASM16605v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/055/GCF_000166055.1_ASM16605v1
Rhodopirellula baltica SH 1,Bacteria;PVC group;Planctomycetes,1,SAMEA3138332,PRJNA413,GCA_000196115.1,Complete,7.14558,55.4,chromosome:NC_005027.1/BX119912.1,,1,5093,2003-07-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/115/GCA_000196115.1_ASM19611v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/115/GCF_000196115.1_ASM19611v1
Rhodopseudomonas palustris,Bacteria;Proteobacteria;Alphaproteobacteria,RCB100,SAMN17028957,PRJNA683609,GCA_016584445.1,Complete,5.45729,64.9929,chromosome:NZ_CP066699.1/CP066699.1; plasmid unnamed1:NZ_CP066700.1/CP066700.1,,2,4899,2021-01-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/584/445/GCA_016584445.1_ASM1658444v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/584/445/GCF_016584445.1_ASM1658444v1
Rhodospirillum rubrum F11,Bacteria;Proteobacteria;Alphaproteobacteria,F11,SAMN02603286,PRJNA67413,GCA_000225955.1,Complete,4.35283,65.4,chromosome:NC_017584.1/CP003046.1,,1,3817,2011-09-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/955/GCA_000225955.1_ASM22595v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/955/GCF_000225955.1_ASM22595v1
Rhodothermus marinus DSM 4252,Bacteria;FCB group;Bacteroidetes/Chlorobi group,DSM 4252,SAMN00002700,PRJNA29281,GCA_000024845.1,Complete,3.38674,64.2672,chromosome:NC_013501.1/CP001807.1; plasmid pRMAR01:NC_013502.1/CP001808.1,,2,2896,2009-11-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/845/GCA_000024845.1_ASM2484v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/845/GCF_000024845.1_ASM2484v1
Rhodovulum sulfidophilum,Bacteria;Proteobacteria;Alphaproteobacteria,SNK001,SAMN04903812,PRJNA319729,GCA_001633145.1,Complete,4.19649,66.8568,chromosome:NZ_CP015421.1/CP015421.1; plasmid unnamed:NZ_CP015422.1/CP015422.1,,2,3846,2016-04-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/145/GCA_001633145.1_ASM163314v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/633/145/GCF_001633145.1_ASM163314v1
Richelia sinica FACHB-800,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,FACHB 800,SAMN06603501,PRJNA380678,GCA_019056575.1,Complete,5.72949,39.7,chromosome:NZ_CP021056.1/CP021056.1,,1,4571,2021-06-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/056/575/GCA_019056575.1_ASM1905657v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/056/575/GCF_019056575.1_ASM1905657v1
Rickettsia bellii,Bacteria;Proteobacteria;Alphaproteobacteria,An04,SAMN04576394,PRJNA316319,GCA_002078315.1,Complete,1.5798,31.6727,chromosome:NZ_CP015010.1/CP015010.1; plasmid unnamed:NZ_CP015011.1/CP015011.1,,2,1411,2017-04-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/078/315/GCA_002078315.1_ASM207831v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/078/315/GCF_002078315.1_ASM207831v1
Rickettsiales endosymbiont of Stachyamoeba lipophora,Bacteria;Proteobacteria;Alphaproteobacteria,RICK01,SAMN10347691,PRJNA501864,GCA_003932735.1,Complete,1.73839,33,chromosome:NZ_CP033611.1/CP033611.1,,1,1546,2018-12-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/932/735/GCA_003932735.1_ASM393273v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/932/735/GCF_003932735.1_ASM393273v1
Rickettsiella endosymbiont of Dermanyssus gallinae,Bacteria;Proteobacteria;Gammaproteobacteria,DGE,SAMN20119969,PRJNA743410,GCA_019285595.1,Complete,1.88871,39.6,chromosome:NZ_CP079094.1/CP079094.1,,1,1852,2021-07-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/285/595/GCA_019285595.1_ASM1928559v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/285/595/GCF_019285595.1_ASM1928559v1
Riemerella anatipestifer,Bacteria;FCB group;Bacteroidetes/Chlorobi group,20190403E1-1,SAMN18395773,PRJNA660554,GCA_019552185.1,Complete,2.17551,34.9952,chromosome:NZ_CP072186.1/CP072186.1; plasmid unnamed1:NZ_CP072187.1/CP072187.1,,2,1978,2021-08-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/552/185/GCA_019552185.1_ASM1955218v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/552/185/GCF_019552185.1_ASM1955218v1
Rippkaea orientalis PCC 8801,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,PCC 8801,SAMN00000280,PRJNA20503,GCA_000021805.1,Complete,4.78769,39.7959,chromosome:NC_011726.1/CP001287.1; plasmid pP880101:NC_011721.1/CP001288.1; plasmid pP880102:NC_011723.1/CP001289.1; plasmid pP880103:NC_011727.1/CP001290.1,,4,4333,2008-12-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/805/GCA_000021805.1_ASM2180v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/805/GCF_000021805.1_ASM2180v1
Robiginitalea biformata HTCC2501,Bacteria;FCB group;Bacteroidetes/Chlorobi group,HTCC2501,SAMN02603916,PRJNA13461,GCA_000024125.1,Complete,3.53038,55.3,chromosome:NC_013222.1/CP001712.1,,1,3070,2009-09-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/125/GCA_000024125.1_ASM2412v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/125/GCF_000024125.1_ASM2412v1
Rodentibacter heylii,Bacteria;Proteobacteria;Gammaproteobacteria,G1,SAMN11618741,PRJNA542320,GCA_010587025.1,Complete,2.60764,40.2,chromosome:NZ_CP040863.1/CP040863.1,,1,2374,2020-02-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/587/025/GCA_010587025.1_ASM1058702v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/587/025/GCF_010587025.1_ASM1058702v1
Roseateles depolymerans,Bacteria;Proteobacteria;Betaproteobacteria,KCTC 42856,SAMN04363976,PRJNA306798,GCA_001483865.1,Complete,5.68172,66.6,chromosome:NZ_CP013729.1/CP013729.1,,1,4820,2016-01-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/865/GCA_001483865.1_ASM148386v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/483/865/GCF_001483865.1_ASM148386v1
Roseburia intestinalis L1-82,Bacteria;Proteobacteria;Alphaproteobacteria,DFL-43,SAMN03081458,PRJNA189501,GCA_000590925.1,Complete,3.55511,65.7,chromosome:NZ_CP004372.1/CP004372.1,,1,3181,2014-03-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/590/925/GCA_000590925.1_ASM59092v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/925/GCF_000590925.1_ASM59092v1
Roseicitreum antarcticum,Bacteria;Proteobacteria;Alphaproteobacteria,ZS2-28,SAMN15922049,PRJNA659637,GCA_014681765.1,Complete,4.2531,63.1537,chromosome:NZ_CP061498.1/CP061498.1; plasmid pRA01:NZ_CP061502.1/CP061502.1; plasmid pRA02:NZ_CP061500.1/CP061500.1; plasmid pRA03:NZ_CP061501.1/CP061501.1; plasmid pRA04:NZ_CP061499.1/CP061499.1,,5,3911,2020-09-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/681/765/GCA_014681765.1_ASM1468176v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/681/765/GCF_014681765.1_ASM1468176v1
Roseiflexus castenholzii DSM 13941,Bacteria;Terrabacteria group;Chloroflexi,DSM 13941,SAMN02598306,PRJNA13462,GCA_000017805.1,Complete,5.7233,60.7,chromosome:NC_009767.1/CP000804.1,,1,4502,2007-08-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/805/GCA_000017805.1_ASM1780v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/805/GCF_000017805.1_ASM1780v1
Roseimaritima ulvae,Bacteria;PVC group;Planctomycetes,UC8,SAMN10980022,PRJNA485700,GCA_008065135.1,Complete,8.21251,59.1,chromosome:NZ_CP042914.1/CP042914.1,,1,5686,2019-08-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/065/135/GCA_008065135.1_ASM806513v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/065/135/GCF_008065135.1_ASM806513v1
Roseitalea porphyridii,Bacteria;Proteobacteria;Alphaproteobacteria,MA7-20,SAMN11037189,PRJNA524820,GCA_004331955.1,Complete,3.53967,66.6,chromosome:NZ_CP036532.1/CP036532.1,,1,3409,2019-03-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/331/955/GCA_004331955.1_ASM433195v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/331/955/GCF_004331955.1_ASM433195v1
Roseithermus sacchariphilus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,MEBiC09517,SAMN09428325,PRJNA476202,GCA_003285105.1,Complete,4.80799,68.7,chromosome:NZ_CP030158.1/CP030158.1,,1,3740,2018-07-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/285/105/GCA_003285105.1_ASM328510v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/285/105/GCF_003285105.1_ASM328510v1
Roseobacter denitrificans,Bacteria;Proteobacteria;Alphaproteobacteria,FDAARGOS_309,SAMN06173322,PRJNA231221,GCA_002983865.1,Complete,4.30879,58.9291,chromosome:NZ_CP027407.1/CP027407.1; plasmid unnamed1:NZ_CP027406.1/CP027406.1; plasmid unnamed2:NZ_CP027408.1/CP027408.1,,3,3954,2018-03-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/983/865/GCA_002983865.1_ASM298386v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/983/865/GCF_002983865.1_ASM298386v1
Roseococcus microcysteis,Bacteria;Proteobacteria;Alphaproteobacteria,NIBR12,SAMN16088894,PRJNA662565,GCA_014764365.1,Complete,4.20801,70.9,chromosome:NZ_CP061718.1/CP061718.1,,1,3944,2020-09-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/764/365/GCA_014764365.1_ASM1476436v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/764/365/GCF_014764365.1_ASM1476436v1
Roseomonas gilardii,Bacteria;Proteobacteria;Alphaproteobacteria,U14-5,SAMN04958682,PRJNA320863,GCA_001941945.1,Complete,5.41246,70.119,chromosome 1:NZ_CP015583.1/CP015585.1; chromosome 2:NZ_CP015584.1/CP015586.1; plasmid 1:NZ_CP015585.1/CP015583.1; plasmid 2:NZ_CP015586.1/CP015584.1; plasmid 3:NZ_CP015587.1/CP015587.1,,5,4798,2017-01-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/941/945/GCA_001941945.1_ASM194194v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/945/GCF_001941945.1_ASM194194v1
Roseovarius indicus,Bacteria;Proteobacteria;Alphaproteobacteria,DSM 26383,SAMN09772271,PRJNA484900,GCA_008728195.1,Complete,6.17307,64.3363,chromosome:NZ_CP031598.1/CP031598.1; plasmid pRIdsm_01:NZ_CP031599.1/CP031599.1; plasmid pRIdsm_02:NZ_CP031600.1/CP031600.1; plasmid pRIdsm_03:NZ_CP031601.1/CP031601.1; plasmid pRIdsm_04:NZ_CP031602.1/CP031602.1,,5,5890,2019-09-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/728/195/GCA_008728195.1_ASM872819v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/728/195/GCF_008728195.1_ASM872819v1
Rosistilla oblonga,Bacteria;PVC group;Planctomycetes,CA51,SAMN10954010,PRJNA485700,GCA_007751715.1,Complete,7.25051,58.2,chromosome:NZ_CP036292.1/CP036292.1,,1,5048,2019-07-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/751/715/GCA_007751715.1_ASM775171v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/751/715/GCF_007751715.1_ASM775171v1
Rothia dentocariosa ATCC 17931,Bacteria;Terrabacteria group;Actinobacteria,ATCC 17931,SAMN00120582,PRJNA48447,GCA_000164695.2,Complete,2.50603,53.7,chromosome:NC_014643.1/CP002280.1,,1,2059,2010-11-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/695/GCA_000164695.2_ASM16469v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/695/GCF_000164695.2_ASM16469v2
Ruania alkalisoli,Bacteria;Terrabacteria group;Actinobacteria,RN3S43,SAMN16435489,PRJNA669130,GCA_014960965.1,Complete,4.44869,68.2,chromosome:NZ_CP063169.1/CP063169.1,,1,3866,2020-10-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/960/965/GCA_014960965.1_ASM1496096v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/960/965/GCF_014960965.1_ASM1496096v1
Rubinisphaera brasiliensis DSM 5305,Bacteria;PVC group;Planctomycetes,DSM 5305,SAMN00103628,PRJNA47863,GCA_000165715.3,Complete,6.0066,56.4,chromosome:NC_015174.1/CP002546.1,,1,4603,2011-03-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/715/GCA_000165715.3_ASM16571v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/715/GCF_000165715.2_ASM16571v3
Rubripirellula lacrimiformis,Bacteria;PVC group;Planctomycetes,K22.7,SAMN06143213,PRJNA357569,GCA_007741535.1,Complete,8.54249,57.3,chromosome:NZ_CP036525.1/CP036525.1,,1,5949,2019-07-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/741/535/GCA_007741535.1_ASM774153v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/741/535/GCF_007741535.1_ASM774153v1
Rubrobacter xylanophilus DSM 9941,Bacteria;Terrabacteria group;Actinobacteria,DSM 9941,SAMN02598258,PRJNA10670,GCA_000014185.1,Complete,3.22575,70.5,chromosome:NC_008148.1/CP000386.1,,1,3243,2006-06-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/185/GCA_000014185.1_ASM1418v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/185/GCF_000014185.1_ASM1418v1
Ruegeria pomeroyi DSS-3,Bacteria;Proteobacteria;Alphaproteobacteria,DSS-3,SAMN02604003,PRJNA281,GCA_000011965.2,Complete,4.60105,64.0504,chromosome:NC_003911.12/CP000031.2; plasmid megaplasmid:NC_006569.1/CP000032.1,,2,4346,2002-05-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/965/GCA_000011965.2_ASM1196v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/965/GCF_000011965.2_ASM1196v2
Rufibacter tibetensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,1351,SAMN02711851,PRJNA242661,GCA_001310085.1,Complete,5.41347,47.4097,chromosome:NZ_CP012643.1/CP012643.1; plasmid 1:NZ_CP012644.1/CP012644.1; plasmid 2:NZ_CP012645.1/CP012645.1,,3,4292,2015-10-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/310/085/GCA_001310085.1_ASM131008v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/310/085/GCF_001310085.1_ASM131008v1
Rugosibacter aromaticivorans,Bacteria;Proteobacteria;Betaproteobacteria,Ca6,SAMN03144834,PRJNA264992,GCA_000934545.1,Complete,2.93461,55.1,chromosome:NZ_CP010554.1/CP010554.1,,1,2808,2015-02-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/934/545/GCA_000934545.1_ASM93454v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/934/545/GCF_000934545.1_ASM93454v1
Ruminiclostridium cellulolyticum H10,Bacteria;Terrabacteria group;Firmicutes,H10; ATCC 35319,SAMN00623037,PRJNA17419,GCA_000022065.1,Complete,4.06872,37.4,chromosome:NC_011898.1/CP001348.1,,1,3350,2009-01-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/065/GCA_000022065.1_ASM2206v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/065/GCF_000022065.1_ASM2206v1
[Ruminococcus] gnavus ATCC 29149,Bacteria;Terrabacteria group;Firmicutes,ATCC 29149,SAMN08398974,PRJNA431711,GCA_009831375.1,Complete,3.54919,42.9,chromosome:NZ_CP027002.1/CP027002.1,,1,3354,2020-01-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/831/375/GCA_009831375.1_ASM983137v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/831/375/GCF_009831375.1_ASM983137v1
Ruminococcus albus 7 = DSM 20455,Bacteria;Terrabacteria group;Firmicutes,7,SAMN00016988,PRJNA42255,GCA_000179635.2,Complete,4.48209,43.6142,chromosome:NC_014833.1/CP002403.1; plasmid pRUMAL01:NC_014824.1/CP002404.1; plasmid pRUMAL02:NC_014825.1/CP002405.1; plasmid pRUMAL03:NC_014826.1/CP002406.1; plasmid pRUMAL04:NC_014827.1/CP002407.1,,5,3880,2010-12-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/635/GCA_000179635.2_ASM17963v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/635/GCF_000179635.2_ASM17963v2
Runella slithyformis DSM 19594,Bacteria;FCB group;Bacteroidetes/Chlorobi group,DSM 19594,SAMN02232050,PRJNA49125,GCA_000218895.1,Complete,6.91973,46.4335,chromosome:NC_015703.1/CP002859.1; plasmid pRUNSL01:NC_015693.1/CP002860.1; plasmid pRUNSL02:NC_015704.1/CP002861.1; plasmid pRUNSL03:NC_015694.1/CP002862.1; plasmid pRUNSL04:NC_015705.1/CP002863.1; plasmid pRUNSL05:NC_015695.1/CP002864.1,,6,5761,2011-06-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/895/GCA_000218895.1_ASM21889v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/895/GCF_000218895.1_ASM21889v1
Saccharibacillus brassicae,Bacteria;Terrabacteria group;Firmicutes,ATSA2,SAMN11812191,PRJNA544163,GCA_006542275.1,Complete,5.61947,58.4,chromosome:NZ_CP041217.1/CP041217.1,,1,4591,2019-07-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/542/275/GCA_006542275.1_ASM654227v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/542/275/GCF_006542275.1_ASM654227v1
Saccharobesus litoralis,Bacteria;Proteobacteria;Gammaproteobacteria,CCB-QB4,SAMN08394866,PRJNA431529,GCA_003063625.1,Complete,5.87113,41.2248,chromosome:NZ_CP026604.1/CP026604.1; plasmid unnamed1:NZ_CP026605.1/CP026605.1,,2,4304,2018-04-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/063/625/GCA_003063625.1_ASM306362v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/063/625/GCF_003063625.1_ASM306362v1
Saccharomonospora viridis DSM 43017,Bacteria;Terrabacteria group;Actinobacteria,DSM 43017,SAMN02598440,PRJNA20835,GCA_000023865.1,Complete,4.30835,67.3,chromosome:NC_013159.1/CP001683.1,,1,3803,2009-08-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/865/GCA_000023865.1_ASM2386v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/865/GCF_000023865.1_ASM2386v1
Saccharophagus degradans 2-40,Bacteria;Proteobacteria;Gammaproteobacteria,2-40,SAMN02598483,PRJNA316,GCA_000013665.1,Complete,5.05753,45.8,chromosome:NC_007912.1/CP000282.1,,1,4068,2006-03-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/665/GCA_000013665.1_ASM1366v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/665/GCF_000013665.1_ASM1366v1
Saccharopolyspora erythraea NRRL 2338,Bacteria;Terrabacteria group;Actinobacteria,NRRL 2338,SAMEA2272514,PRJEA18489,GCA_000062885.1,Complete,8.2128,71.1,chromosome:NC_009142.1/AM420293.1,,1,7045,2007-03-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/062/885/GCA_000062885.1_ASM6288v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/062/885/GCF_000062885.1_ASM6288v1
Saccharospirillum mangrovi,Bacteria;Proteobacteria;Gammaproteobacteria,HK-33,SAMN09742601,PRJNA483515,GCA_003367315.1,Complete,3.68691,57.4,chromosome:NZ_CP031415.1/CP031415.1,,1,3394,2018-08-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/367/315/GCA_003367315.1_ASM336731v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/367/315/GCF_003367315.1_ASM336731v1
Saccharothrix espanaensis DSM 44229,Bacteria;Terrabacteria group;Actinobacteria,type strain: DSM 44229,SAMEA2272236,PRJEB28,GCA_000328705.1,Complete,9.36065,72.2,chromosome:NC_019673.1/HE804045.1,,1,8232,2012-10-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/705/GCA_000328705.1_ASM32870v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/705/GCF_000328705.1_ASM32870v1
Salaquimonas pukyongi,Bacteria;Proteobacteria;Alphaproteobacteria,RR3-28,SAMN06199440,PRJNA360029,GCA_001953055.1,Complete,3.35758,58.6,chromosome:NZ_CP019044.1/CP019044.1,,1,3100,2017-01-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/953/055/GCA_001953055.1_ASM195305v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/953/055/GCF_001953055.1_ASM195305v1
Salegentibacter mishustinae,Bacteria;FCB group;Bacteroidetes/Chlorobi group,F1,SAMN21876533,PRJNA766795,GCA_020310005.1,Complete,3.80778,36.9,chromosome:NZ_CP084316.1/CP084316.1,,1,3395,2021-10-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/310/005/GCA_020310005.1_ASM2031000v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/310/005/GCF_020310005.1_ASM2031000v1
